"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","5.11384361090679","5.07700927992017","5.28776960271687","5.57106801578191","5.83540701559124","6.17153728960585","6.16312387670701","6.16809717844554","6.1914022371828","6.27097408771347","6.57276224772037","6.65358146732628","6.77942578649597","6.73978917381238","6.6846909038696","6.62887617346413","6.62998919221439","6.63865621958108","6.5648820833799","6.2832912201214","6.84288404021477","6.88147710956655","3.9250967492856","2.22353367704003","1.56954297823522","1.80204203615875","1.52534437824344","1.75671358896266","1.78487664104331","1.69002736096456","1.82003042438918","1.86761317641198","1.73360835052191","1.88342498036135","2.04679452747322","2.29468599033816","2.29903105113364","2.61775117461543","2.78947879887273","2.3938682322244","2.3224513925381","2.54235608837808","2.833107370788","2.8494705493051","2.97581126816643","2.96095986154563","2.91792266818167","2.99902664966101","3.05810037049512","3.22710548523207","3.47182171197029","3.68227390878709","3.77930082177017","3.61839220051952","3.55384868963244",
"American Samoa","ASM","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","0.225708576925923","0.221552319035339","0.217896052866583","0.214516809677873","0.214718614718615","0.210956107519564","0.210287392770119","0.209691687690443","0.205946711288454","0.199297712821486","0.19751257599605","0.193544545021439","0.194792173937953","0.195748669736153","0.196458438420899","0.194358489118482","0.192255551995268","0.190150218672751","0.188008712598877","0.18809054900312","0.156518010291595","0.154546593709536","0.152942615930503","0.151518172212365","0.150240970907885","0.147182506307822","0.146196090191742","0.145322099996321","0.142769364224527","0.142227279192149","0.142467680942749","0.154242546404221","0.154218218779573","0.15621983114216","0.156640501249604","0.157196601727396","0.156100329939334","0.156826403863632","0.157626997205703","0.156677712145224","0.157528789744333","0.158484379269515","0.159665253537411","0.161093211865348","0.164590580929937","0.166420817731382","0.16843717102115","0.170588919474276","0.17286084701815","0.175267382341811","0.176845320632624","0.180802437785678","0.184104919117951","0.187285621093832","0.19031326847001",
"Antigua and Barbuda","ATG","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","2.45939747086536","2.55217908510868","2.88168381954655","2.91877778123154","2.71316619313747","3.10625166434311","2.92337128697343","3.1364504713288","3.20590899153628","3.27815290786321","3.31871095748144","3.05420242789763","3.57181446322451","2.58724243077586","2.88832033537807","2.96635754207242","3.07424232995208","3.64369937134457","3.84452163525769","3.85787603632057","3.91018932546856","3.9172069982804","3.8817464753742","3.76751490386814","3.94506530227548","4.00064526536538","3.89731655461702","3.98434971077928","3.98690824725184","3.96655173349985","3.00886373344724","2.93023439245948","3.12467545954928","3.27538390426789","3.28764338977883","3.33119795003203","3.58170810381619","3.75746597473808","3.89207834812814","4.24601713138417","4.07172995780591","3.23981837557337","3.36924134769654","3.71775072674419","3.91708443643328","4.01861110179065","4.27035979059454","3.82566211257019","3.9119723731386","4.4864498051749","4.27999041874442","4.32164939522897","4.42912537699268","4.44832611770758","4.5525316725675",
"Australia","AUS","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","25.239505876709","24.8862100950761","25.3554678606663","25.5151943198804","25.9318516359397","26.2857554163967","26.2439392859688","26.4100690529876","25.4730533500488","25.4753823894171","25.6503267084127","25.4700447489356","25.5915225825818","24.4290047105682","25.0540216880108","25.5478293056281","25.5091192288844","25.7697458797332","25.9923141338303","26.8228346437961","26.9965686750196","26.8170987378179","26.6338647154083","26.6552264135793","26.6292410848173","26.7840633445973","27.1780868309592","27.5800292861595","28.4377004559001","28.4818722509954","28.6780113640365","28.807035709659","28.9790312594735","28.082550870183","28.8794375399406","28.6084533339307","28.5770755278748","28.4350897092333","27.7856450024304","27.5512290372707","27.1768016612389","27.3381532625032","27.0460794251998","26.15537988395","25.4390989894821","25.2246525916721","24.6360378302475","24.9238713713254","24.3584230872429","23.8862504917144","22.5951029831362","22.4325426432716","21.9757458485373","22.037315037906","21.7471812505083",
"Austria","AUT","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","9.58886773233896","9.96690612683292","10.2011598047295","10.6408220808675","10.3281889102278","10.0225454792072","10.7610906050803","10.412965436689","10.6875086365863","11.0622464624789","10.8139379473929","10.30079101987","10.0070238997431","10.0064666202057","10.3335425529073","10.5116533608461","10.2977174808192","10.3120883438382","10.1420547091176","10.0026943788276","10.442702058519","10.8867552103569","10.0703393022238","9.98744819042321","10.0043875355684","10.3517516624356","10.8403713674691","10.7291867599577","10.7334668122725","10.4548063867281","10.445074034215","11.0137618711479","11.1808192001022","11.7163211422432","11.7394394445596","11.7195799766864","11.366873951838","10.9703987240291","10.8871770172094","9.94771507707421","10.6560677924921","10.4067820806962","9.96174254515811","9.96368674204639","9.4567322025902","9.51805680146908","9.46594285143947","9.64558833659219","9.2520112785208","9.36204380219642","8.63226129724531","8.94148226003783","8.41411786148655","7.84036069275138","7.73589444825671",
"Azerbaijan","AZE","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","6.29166384702391","6.2241739936967","6.44118001650762","6.76053441089208","7.07793925743194","7.44607623416915","7.52070576024909","7.62477132135837","7.85261414121132","7.98520909854562","8.22123204285366","8.29304462466541","8.30153125024577","8.329375522462","8.33322929116834","8.33222641169989","8.36683751089317","8.39548532074731","8.24898918934419","8.14060523842833","9.43156985171145","9.0579813788456","7.49509959970469","6.53990766931739","5.7260598561189","5.5526262711699","4.80085018678346","4.66369406436386","4.6739037027676","4.75545394757446","4.93101905921527","4.81158151691488","4.7570653271251","5.06310343571246","5.01599951844941","5.3074590227423","5.44732484339181","5.43371051006258","5.83585138188374","5.08591305724009","4.91311783133201","5.11537997807062","5.38185913097809","5.44372765230995","5.56830205601862","5.48964950041666","5.40066769066672","5.32024806492935","5.34584750493749","5.58077819630591","5.38325063179169","5.58270819461912","5.84083269209001","6.00670201708536","5.71212104876784",
"Burundi","BDI","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","0.600719685296304","0.584857886665953","0.611728421001413","0.627493257873566","0.617859968301027","0.624556841731523","0.614223466282871","0.601493831431109","0.592268247154259","0.595832550261328","0.516366745397616","0.451947803927014","0.450314970553618","0.446914315566011","0.452230960739597","0.433429041712405","0.461573193351131","0.457297523699037","0.47283231758288","0.469835184858251","0.54527861920741","0.557429823363384","0.534957711200331","0.561491660065286","0.553479315362276","0.541729115331282","0.558948463274725","0.567673172607372","0.553796701140501","0.471236698486939","0.471670555782408","0.457330882458231","0.440055966092098","0.432135943641159","0.43708799866934","0.436281738732057","0.446872925684634","0.463900814935394","0.443388308247813","0.44812903863206","0.46532566077289","0.4768378771798","0.459843821306028","0.550848947265924","0.528140143530635","0.515153544939254","0.536138286469686","0.583439546242462","0.591705548471657","0.551384311291016","0.535918261626582","0.609672714803253","0.578773655052583","0.598066394194069","0.599503722508301",
"Belgium","BEL","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","17.3237171703028","16.3000164785827","17.4201829553043","17.9626287760272","17.9393044854094","15.9044660075301","16.8338947551325","16.6803589452185","17.0978930506262","18.0273470302025","16.9235931119248","15.7428322721352","14.9037930347718","13.9613333441564","14.3778438804745","14.1148359333062","14.0799525604952","13.9750790102849","13.9703084249274","14.0070682372385","14.1032863303382","14.4566747357136","14.1724500500639","13.9239077889528","14.6007805960752","14.6700081514788","15.1866114738569","14.8003608596002","15.1336939067381","14.7148185498756","14.8183489818315","14.7919374485373","13.9869938259627","14.2928680655886","14.1174326755324","13.7342074817698","13.3171652750229","12.977497953076","13.0332261341835","12.2310272419016","12.8946712916588","11.7686078173162","11.5296375272668","11.5804988562564","10.9297329828905","11.2817268743598","11.1286209268351","10.9080331016061","10.912410145257","10.8271230344208","10.0247915605735","10.3158457112106","9.58787556045653","9.10244410288468","9.09246530579891",
"Benin","BEN","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","0.821387660979877","0.783598908627021","0.829981078975403","0.853876477997841","0.826584405732056","0.860740109949275","0.800663383345658","0.813258548653926","0.818141599465348","0.828146343302969","0.845780308061828","0.869770426072114","0.900376173195567","0.859130381133065","0.854786598409631","0.877895430862677","0.795714609596571","0.767087421235633","0.737497184107151","0.714632002885004","0.726860790320287","0.721580515416752","0.718282672142551","0.690652656543678","0.719887752099317","0.669560300335342","0.799689229641835","0.818897326822985","0.796569520916817","0.82176917920757","0.827307560811502","0.873737978799817","0.906190744331324","0.924950746044203","0.935986274946704","0.959169461143792","1.07446680996572","1.12261947746301","1.10130979514905","1.12402193066814","1.17875160602457","1.15359965395973","1.11479922832615","1.14986374800468","1.17329966516785","1.18827383675327","1.29724781716149","1.2890600991048","1.367207104832","1.34661977856885","1.35149744429471","1.20665002810246","1.23936907304996","1.22981065739052","1.22847535498845",
"Burkina Faso","BFA","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","1.12446669556587","1.11098477767778","1.03408955106682","0.966723709545128","0.974886902762268","0.982225657003606","0.988689837890596","0.991454927206508","1.00341618186298","1.02251614193758","1.02474128873473","1.03818188413297","1.06250554310736","1.06663520117323","1.06284455890285","1.1479718272711","1.15902021267378","1.17080198446065","1.17442029782093","1.17066417820523","1.23444268352491","1.26643598173936","1.24848443937887","1.24744307294995","1.25507245403356","1.26395026265264","1.27096224810533","1.28369432377591","1.28612509011923","1.19586057036381","1.1891279443306","1.28937769098189","1.28072958876647","1.4942520301116","1.46729762447157","1.46974728833502","1.45774503404028","1.47291089473241","1.50544370125415","1.4942967139667","1.50363817928949","1.49985823952455","1.51141778611084","1.52415239455612","1.49715342653302","1.54493516624456","1.54502831570093","1.55822689261359","1.59517274636701","1.61123830452431","1.40582130474438","1.61111654915565","1.5879221493162","1.50232070354545","1.4827816352787",
