year,food_prod_index_2014_16_100,cv5,cv5_scaled_0_1,S_stability_from_cv,A_availability,X_access,U_utilization,S_stability,FSI_geomean
1978,60.53,0.05582987538841218,0.8291465630766873,0.17085343692331267,0.2626204455660361,0.0612542578742269,0.1557372551171575,0.1708534369233126,0.1438368829370264
1979,63.35,0.04205075668131098,0.5526031314284555,0.4473968685715445,0.3292352619391924,0.0783227605200609,0.2034791197936665,0.4473968685715445,0.2201160850167018
1980,60.82,0.03093047435658309,0.32942187431419806,0.6705781256858019,0.2885889333047244,0.0919227411025596,0.0915326784832351,0.6705781256858019,0.200877848515678
1981,65.92,0.039379780099019004,0.4989973061489024,0.5010026938510976,0.3337515206763558,0.113121484344608,0.2226856170773195,0.5010026938510976,0.2547564240765527
1982,66.62,0.04430133082250872,0.5977715859149421,0.40222841408505794,0.3032667742005047,0.1199187176750233,0.1420183284859784,0.4022284140850579,0.2134923106990449
1983,57.69,0.058772244491556755,0.8881991676921035,0.1118008323078965,0.3473002968878454,0.1365032894898072,0.2199418317510829,0.1118008323078965,0.1847780104084316
1984,65.38,0.061113757836818675,0.935192749031609,0.06480725096839102,0.3981082076809303,0.1600615500465551,0.2825001371892665,0.064807250968391,0.1848130367193206
1985,68.56,0.06433267632888691,0.9997956300223754,0.00020436997762462994,0.516659999531463,0.176701891910772,0.47676013828678,0.0002043699776246,0.0546123378532652
1986,66.04,0.06443450619933702,1.0,0.0,0.4850461883713208,0.1892900490288131,0.4361521154584867,0.0,0.0025155746857988
1987,65.37,0.06320632755493331,0.9771900946610043,0.02280990533899574,0.5956945274318178,0.2038937320406115,0.5793777094880106,0.0228099053389957,0.2001604126737749
1988,60.36,0.045709935935934726,0.6260419347075191,0.3739580652924809,0.604727044906144,0.2247361466811528,0.5755364100312779,0.3739580652924809,0.4135537920712188
1989,66.35,0.04634794336820733,0.6388465827033895,0.36115341729661055,0.5765004277988747,0.2466038460674491,0.561817483400098,0.3611534172966105,0.4121180294202087
1990,68.41,0.04576532899080192,0.6271536593256225,0.3728463406743775,0.6442443088563214,0.2624092869234506,0.6166931899248204,0.3728463406743775,0.4440247795916501
1991,67.33,0.04759803956642206,0.6639356976093047,0.3360643023906953,0.6769871847007543,0.2697169559019794,0.705591834494869,0.3360643023906953,0.4561589041008341
1992,73.35,0.06936305062190712,1.0,0.0,0.7187625780195138,0.2866863126513396,0.7335784448224764,0.0,0.0035063861689139
1993,67.27,0.04063279393356875,0.5241449772790246,0.47585502272097535,0.7706995534968888,0.3020141880870682,0.7593700268890958,0.4758550227209753,0.5385302961919259
1994,77.0,0.06130117355959025,0.9389541352437312,0.06104586475626883,0.8384434345543367,0.322514279816926,0.9069856774405968,0.0610458647562688,0.3498000353196869
1995,71.51,0.05814707920723121,0.8756522583614196,0.12434774163858042,0.7424729363896194,0.3384022758430062,0.8257696317840093,0.1243477416385804,0.4007768967370731
