Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20152017,2015,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20162018,2016,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20172019,2017,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20182020,2018,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20192021,2019,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20202022,2020,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20212023,2021,<2.5
FS,Suite of Food Security Indicators,840,United States of America,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20222024,2022,<2.5
