iso3,year,arable_land
IND,2009,53.1160134401098
IND,2010,52.8082631786061
IND,2011,52.7981730060978
IND,2012,52.6525381828945
IND,2013,52.617558918199
IND,2014,52.6246220389548
IND,2015,52.6078050847743
IND,2016,52.5755165327477
IND,2017,52.433581439464
IND,2018,52.2933280415984
IND,2019,52.2566670814849
IND,2020,51.9383557727559
IND,2021,51.8513672856427
IND,2022,51.8054794009128
IND,2023,51.752057554344
NGA,1961,25.9955861523766
NGA,1962,26.1569880430844
NGA,1963,26.3194879058379
NGA,1964,26.4808897965458
NGA,1965,26.6422916872536
NGA,1966,26.8047915500071
NGA,1967,26.966193440715
NGA,1968,27.1286933034685
NGA,1969,27.2900951941764
NGA,1970,27.4514970848842
NGA,1971,27.6139969476377
NGA,1972,27.7753988383456
NGA,1973,27.9368007290534
NGA,1974,28.0993005918069
NGA,1975,28.2607024825148
NGA,1976,28.4221043732227
NGA,1977,28.5846042359762
NGA,1978,28.746006126684
NGA,1979,28.9074080173919
NGA,1980,29.0699078801454
NGA,1981,29.2313097708532
NGA,1982,29.3938096336067
NGA,1983,29.5552115243146
NGA,1984,29.7166134150225
NGA,1985,29.879113277776
NGA,1986,30.0405151684838
NGA,1987,30.1744677580509
NGA,1988,30.4270013285462
NGA,1989,30.6202444085774
NGA,1990,30.8244672090649
NGA,1991,31.8411893233198
NGA,1992,33.0489585735147
NGA,1993,33.0489585735147
NGA,1994,34.0371334145833
NGA,1995,36.1232803012835
NGA,1996,36.3428747104099
NGA,1997,36.452671914973
NGA,1998,37.3310495514784
NGA,1999,38.4290215971101
NGA,2000,38.4290215971101
NGA,2001,39.1438013988164
NGA,2002,39.1844263645048
NGA,2003,39.2184634979193
NGA,2004,39.2535986033796
NGA,2005,39.2876357367941
NGA,2006,39.3227708422544
NGA,2007,39.3568079756689
NGA,2008,39.3919430811292
NGA,2009,40.4844252665327
NGA,2010,39.461115320004
NGA,2011,39.4951524534185
NGA,2012,39.5302875588788
NGA,2013,39.5643246922933
NGA,2014,39.5994597977536
NGA,2015,39.6334969311681
NGA,2016,39.6686320366283
NGA,2017,39.7026691700429
NGA,2018,39.9881419019072
NGA,2019,40.4844252665327
NGA,2020,40.4844252665327
NGA,2021,40.4844252665327
NGA,2022,40.4844252665327
NGA,2023,40.4844252665327
USA,1961,19.7216714561479
USA,1962,19.3357106046975
USA,1963,19.6063745228716
USA,1964,19.43080873811
USA,1965,19.3253382480107
USA,1966,19.1839466489645
USA,1967,19.0509621179697
USA,1968,19.7620690558753
USA,1969,20.6621712508844
USA,1970,20.6065972555836
USA,1971,20.5416335479137
USA,1972,20.4766698402439
USA,1973,20.4226244027706
USA,1974,20.3595168010342
USA,1975,20.3595168010342
USA,1976,20.3595168010342
USA,1977,20.3682514171915
USA,1978,20.6087809096229
USA,1979,20.6087809096229
USA,1980,20.6087809096229
USA,1981,20.6087809096229
USA,1982,20.5006900346764
USA,1983,20.5006900346764
USA,1984,20.5006900346764
USA,1985,20.5006900346764
USA,1986,20.5006900346764
USA,1987,20.2798134285989
USA,1988,20.2798134285989
USA,1989,20.2747473512277
USA,1990,20.2696812738564
USA,1991,20.2646151964852
USA,1992,20.085293526776
USA,1993,19.9457143605824
USA,1994,19.8523194773206
USA,1995,19.8472533999493
USA,1996,19.532872727908
USA,1997,19.3952588503498
USA,1998,19.301754784386
USA,1999,19.1641409068278
USA,2000,19.1528849848067
USA,2001,19.151313261849
USA,2002,18.8799945862876
USA,2003,18.6342900833013
USA,2004,18.3928163529042
USA,2005,18.1487285416157
USA,2006,17.9130815374943
USA,2007,17.6588154011386
USA,2008,17.5380978571007
USA,2009,17.3860510613922
USA,2010,17.2358768155392
USA,2011,17.0864234286826
USA,2012,16.9341433431503
USA,2013,16.9903285735213
USA,2014,17.0496535963146
USA,2015,17.103561900514
USA,2016,17.154019176992
USA,2017,17.2100806566223
USA,2018,17.0873260438462
USA,2019,16.9548167680067
USA,2020,16.8248090718476
USA,2021,16.6944952784501
USA,2022,16.5679749153313
USA,2023,16.5689915954444
