Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2010","2010","84"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2011","2011","89.57"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2012","2012","91.9"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2013","2013","96.39"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2014","2014","99.16"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2015","2015","98.46"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2016","2016","102.38"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","109.06"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2018","2018","114.35"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2019","2019","116.67"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2020","2020","120.51"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2021","2021","126.76"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2022","2022","131.98"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2023","2023","135.64"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1961","1961","17.97"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1962","1962","18.9"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1963","1963","19.8"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1964","1964","20.39"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1965","1965","21.27"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1966","1966","20.41"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1967","1967","21.7"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1968","1968","22.16"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1969","1969","24.62"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1970","1970","26.36"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1971","1971","23.89"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1972","1972","21.27"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1973","1973","22.29"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1974","1974","24.86"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1975","1975","23.28"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1976","1976","22.14"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1977","1977","21.72"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1978","1978","21.51"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1979","1979","21.87"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1980","1980","23.36"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1981","1981","23.43"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1982","1982","24.26"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1983","1983","24.71"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1984","1984","26.13"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1985","1985","28.07"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1986","1986","29.39"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1987","1987","30.01"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1988","1988","34.01"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1989","1989","37.44"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1990","1990","39.36"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1991","1991","44.61"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1992","1992","47.94"
