iso3,year,total_emissions
FRA,1985,9.78011905243636
FRA,1986,9.50324778765195
FRA,1987,9.27893253271168
FRA,1988,9.17379932763855
FRA,1989,9.25815069973347
FRA,1990,9.11244040869046
FRA,1991,9.59275162335805
FRA,1992,9.29384958012176
FRA,1993,8.87159308445003
FRA,1994,8.74189629397037
FRA,1995,8.8875932054819
FRA,1996,9.15670892356499
FRA,1997,8.89411374380491
FRA,1998,9.06527162907802
FRA,1999,8.8950121405932
FRA,2000,8.8324544756491
FRA,2001,8.84008811822534
FRA,2002,8.67271837950544
FRA,2003,8.66905955041984
FRA,2004,8.62995559644233
FRA,2005,8.57663620691167
FRA,2006,8.30208513858229
FRA,2007,8.16777728502587
FRA,2008,8.00811916206877
FRA,2009,7.74717834868853
FRA,2010,7.8553723513123
FRA,2011,7.54767577944755
FRA,2012,7.5444861657343
FRA,2013,7.42449172498314
FRA,2014,6.87437627302434
FRA,2015,6.93738073319169
FRA,2016,6.93845510462006
FRA,2017,6.96031352989822
FRA,2018,6.73556026125002
FRA,2019,6.58782758218096
FRA,2020,5.94052967473463
FRA,2021,6.35112539779638
FRA,2022,6.11841786757941
FRA,2023,5.71493104676945
IND,1970,1.34327184061075
IND,1971,1.32432751262373
IND,1972,1.3164788951448
IND,1973,1.30076580796114
IND,1974,1.30763044534043
IND,1975,1.3319155900292
IND,1976,1.33701176366416
IND,1977,1.34012721885093
IND,1978,1.31644477364722
IND,1979,1.32388078917843
IND,1980,1.3409023101305
IND,1981,1.37968605062198
IND,1982,1.38332869972571
IND,1983,1.42042447053988
IND,1984,1.4587817122133
IND,1985,1.46739589535073
IND,1986,1.51215727183531
IND,1987,1.52244528759532
IND,1988,1.57382961569542
IND,1989,1.60808242802565
IND,1990,1.56496655861969
IND,1991,1.5977197679991
IND,1992,1.60095861478774
IND,1993,1.60292541699421
IND,1994,1.62851009966685
IND,1995,1.66266371360938
IND,1996,1.67854604393067
IND,1997,1.70244452213797
IND,1998,1.69967826913238
IND,1999,1.73438885848248
IND,2000,1.73506026739289
IND,2001,1.72506833493123
IND,2002,1.72029696272518
IND,2003,1.73551252063876
IND,2004,1.79645840364654
IND,2005,1.82886143914537
IND,2006,1.88953541486283
IND,2007,1.98148854800864
IND,2008,2.05838725399211
IND,2009,2.11779843177105
IND,2010,2.1895143272104
IND,2011,2.26641733572931
IND,2012,2.37550267503496
IND,2013,2.37233291409428
IND,2014,2.479900071661
IND,2015,2.49276960250774
IND,2016,2.49557843281326
IND,2017,2.57086932340456
IND,2018,2.64387221179375
IND,2019,2.62146417435417
IND,2020,2.46756476289856
IND,2021,2.63014633923763
IND,2022,2.77919257007301
IND,2023,2.9249828462405
NGA,1970,3.08389629640391
NGA,1971,3.27209532434016
NGA,1972,3.79338684573027
NGA,1973,4.20152152039727
NGA,1974,4.63799076070187
NGA,1975,3.6593978487739
NGA,1976,4.08050757417377
NGA,1977,3.87822547887925
NGA,1978,3.60774573290353
NGA,1979,4.3657451046139
NGA,1980,3.88465118402732
NGA,1981,2.95179176480844
NGA,1982,2.69985847303083
NGA,1983,2.58795006256973
NGA,1984,2.66781399993212
NGA,1985,2.73611950664594
NGA,1986,2.62562042510156
NGA,1987,2.41641425865757
NGA,1988,2.55788274060588
NGA,1989,2.74968911261229
NGA,1990,2.68547277530563
NGA,1991,2.76187176671454
NGA,1992,2.92454526726199
NGA,1993,2.88236716497656
NGA,1994,3.02749653372377
NGA,1995,3.23613202551452
NGA,1996,3.66613696291388
NGA,1997,3.3492312675269
NGA,1998,2.99479948701609
NGA,1999,2.81218071226582
NGA,2000,3.00570029896704
NGA,2001,2.97150769241905
NGA,2002,2.49361234888018
NGA,2003,2.69081111877115
NGA,2004,2.55209585597089
NGA,2005,2.42456875114025
NGA,2006,2.17344173863479
NGA,2007,1.94869666262255
NGA,2008,1.9278623878291
NGA,2009,1.77346405786322
NGA,2010,1.85738201869596
NGA,2011,1.92668907999189
NGA,2012,1.88247175627215
NGA,2013,1.85255913767158
NGA,2014,1.86456886602986
NGA,2015,1.79574200239429
NGA,2016,1.72300309500895
NGA,2017,1.67054407280245
NGA,2018,1.69088906585775
NGA,2019,1.71890397012939
NGA,2020,1.55930212605056
NGA,2021,1.56842639388846
NGA,2022,1.50019518631016
NGA,2023,1.48223773393836
USA,1970,28.2280172834208
USA,1971,27.261401033415
USA,1972,28.2543797880855
USA,1973,28.9207669329759
USA,1974,27.8179234430967
USA,1975,26.5318650942479
USA,1976,27.7200931043181
USA,1977,28.1502544962518
USA,1978,27.827469955298
USA,1979,27.8143378285308
USA,1980,26.5253990538013
USA,1981,25.9270536811554
USA,1982,24.5230730713447
USA,1983,24.1721196619217
USA,1984,24.9430094349624
USA,1985,24.7676417679595
USA,1986,24.3462343784486
USA,1987,24.7941181811803
USA,1988,25.5139902412689
USA,1989,25.5086229180087
USA,1990,24.9028595121443
USA,1991,24.3552543471644
USA,1992,24.3988456770391
USA,1993,24.5474817154575
USA,1994,24.6683649658339
USA,1995,24.6310142032012
USA,1996,24.974856529841
USA,1997,25.7116164264992
USA,1998,25.5755602601376
USA,1999,25.3016399082569
USA,2000,25.5874780570967
USA,2001,25.117798533528
USA,2002,24.3108002017056
USA,2003,24.3310950755697
USA,2004,24.4455914865311
USA,2005,24.2309197663716
USA,2006,23.5984673123705
USA,2007,23.6668101920795
USA,2008,22.8275838265071
USA,2009,21.1483152336474
USA,2010,21.8314858983273
USA,2011,20.9943603000263
USA,2012,20.0792504657526
USA,2013,20.360282889312
USA,2014,20.3236433931275
USA,2015,19.7753408237147
USA,2016,19.2313049713007
USA,2017,18.9328888755654
USA,2018,19.3907886716696
USA,2019,18.9210982930196
USA,2020,17.2023482156763
USA,2021,18.0683861379484
USA,2022,18.185392846738
USA,2023,17.4907286676653
