Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","118"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","117"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","116"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","116"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","117"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","118"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","118"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","116"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","115"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","114"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","114"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","114"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","113"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20222024","2022-2024","111"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","148"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","148"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","149"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","150"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","150"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","149"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","148"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","146"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","145"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","145"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","146"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","147"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","147"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","147"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","147"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","147"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","148"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","149"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","151"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","152"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","152"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","152"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20222024","2022-2024","152"
