year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean
2011,12313956000.0,83879000.0,146.80618509996543,1993111000.0,45687000.0,43.62534200100685,3097179000.0,73776000.0,41.98084743005855,0.8234505002228795,0.6635741197136702,0.6739574404686736,1.0,0.7790042954629632
2012,53691984000.0,526380000.0,102.0023253163114,6744628000.0,97584000.0,69.11612559435973,14199680000.0,452115000.0,31.407230461276445,0.8619768609969116,0.6880110010376114,0.7036081813981361,1.0,0.8037212809341049
2013,55425769000.0,352963000.0,157.02996914690775,6362707000.0,136792000.0,46.513736183402536,13019360000.0,304677000.0,42.73167977891341,0.8467988033471421,0.7107058168933014,0.6933837879741833,0.8718585948433317,0.7766448388464668
2014,71526897000.0,500857000.0,142.80901934084977,6047651000.0,185105000.0,32.671462143107966,19541912000.0,501591000.0,38.95985374538219,0.8287091270526683,0.7377429957563063,0.6647554863871158,0.6175679488010873,0.7078047518233942
2015,68081402000.0,485384000.0,140.26297117333905,6345865000.0,192680000.0,32.934736350425574,19647562000.0,498147000.0,39.441293433464416,0.8372889918802185,0.7623546452506195,0.7087203781101121,0.5882849355516304,0.718246916211935
2016,75677408000.0,520070000.0,145.5138885150076,6890176000.0,176127000.0,39.12049827681162,21187576000.0,497911000.0,42.55293817569807,0.8567182341671228,0.7781486847964157,0.7593311255586774,0.2539525627828184,0.5987852587632528
2017,71804453000.0,499459000.0,143.76445914479467,5239870000.0,151900000.0,34.49552337063858,22079629000.0,534677000.0,41.29526611393421,0.8667040897470586,0.8074666968399609,0.7920491845153259,0.5337390057778933,0.7375120825203595
2018,73138649000.0,490013000.0,149.25858905784133,5643593000.0,158313000.0,35.64832325835528,22996359000.0,530871000.0,43.31816769045587,0.8965841609335854,0.8476098264189607,0.8661760368389827,0.626878745412633,0.8014827668042349
2019,68708448000.0,492250000.0,139.58039207719654,5833223000.0,152609000.0,38.22332234665059,17964196000.0,457168000.0,39.29451755153467,0.929198718071602,0.8801060115216369,0.9357019121218606,0.6822932453249793,0.8500374201441339
2020,73492958000.0,498741000.0,147.3569608273633,5480899000.0,146643000.0,37.3757970036074,21392073000.0,496241000.0,43.10823370096384,0.9597319660643548,0.8669496550454777,1.0,0.9136495529273784,0.9337505510005
2021,74845117000.0,509233000.0,146.9761720077057,5089079000.0,151451000.0,33.60214854969594,22050257000.0,519040000.0,42.48277011405672,0.99074125817012,0.969924065491064,0.8861136040156904,0.9136495529273784,0.939164695659022
2022,69778220000.0,485017000.0,143.86757577569446,5213430000.0,148256000.0,35.1650523418951,21837609000.0,520789000.0,41.93177851298702,1.0,1.0,0.9878463185840196,0.8986376493541925,0.9706630525358448
2023,75883923000.0,520438000.0,145.80780611715517,5277206000.0,150393000.0,35.089439003145095,20747371000.0,496036000.0,41.82634123329758,1.0,1.0,0.9909136366112048,0.8545649197648182,0.959279616801819
